key	category	ru_context	current_en	new_en	note
common.buy	common	Купить	Buy		
common.sell	common	Продать	Sell		
common.upgrade	common	Улучшить	Upgrade		
common.claim	common	Забрать	Claim		
common.close	common	Закрыть	Close		
common.purchased	common	Куплено	Purchased		
common.locked	common	Закрыто	Locked		
common.soon	common	Скоро	Soon		
common.active	common	Активно	Active		
common.max	common	MAX	MAX		
common.level_format	common	Уровень {0}	Level {0}		
common.upgrade_cost_format	common	Улучшить\n{0}	Upgrade\n{0}		
common.ad	common	Реклама	Ad		
common.watch_more	common	Смотреть еще	Watch more		
common.watch_ad	common	Удвоить за рекламу	Double with ad		
common.buy_cost_format	common	Купить\n{0}	Buy\n{0}		
common.ok	common	Понятно	Got it		
common.start	common	Запустить	Start		
nav.trading	nav	Торговля	Trading		
nav.business	nav	Бизнес	Business		
nav.mining	nav	Майнинг	Mining		
nav.shop	nav	Магазин	Shop		
nav.temki	nav	Темки	Deals		
nav.collections	nav	Коллекции	Collections		
helper.trading	helper	Покупай валюту дешевле и продавай дороже, чтобы зарабатывать рубли.	Buy coins low and sell them high to earn rubles.		
helper.mining	helper	Запускай майнинг и улучшай оборудование, чтобы получать больше ресурсов.	Start mining and upgrade your rigs to earn more resources.		
helper.trading_alt	helper	Следи за движением рынка и используй возможности для быстрой прибыли.	Watch market moves and use the best moments for quick profit.		
helper.business	helper	Покупай и улучшай бизнесы, чтобы получать пассивный доход.	Buy and upgrade businesses to earn passive income.		
helper.fallback	helper	Следи за рынком и развивай доход.	Watch the market and grow your income.		
daily.claim_available	daily	Получить	Claim		
daily.claimed	daily	Получено	Claimed		
daily.locked	daily	Скоро	Soon		
daily.next_countdown_format	daily	{0}	{0}		
ad.interstitial_pause_countdown	ad	Игра приостановлена. Реклама через {0} сек	Game paused. Ad in {0} sec		
leaderboard.millionaires	leaderboard	Топ миллионеров	Top Millionaires		
risky.title	risky	Рисковая сделка	Risky Deal		
risky.success	risky	Успешная сделка	Successful Deal		
risky.profit	risky	Прибыль:	Profit:		
risky.invested	risky	Вложено:	Invested:		
risky.chance	risky	Шанс:	Chance:		
risky.stake_prompt_format	risky	Вложить: {0}	Invest: {0}		
risky.stake_committed_format	risky	Вложено: {0}	Invested: {0}		
risky.success_payout_format	risky	К выплате: {0}	Payout: {0}		
risky.profit_format	risky	Прибыль: +{0}	Profit: +{0}		
risky.missed_profit_format	risky	Упущенная прибыль: +{0}	Missed profit: +{0}		
risky.missed_success_stake	risky	Ты не вошел в сделку	You skipped the deal		
risky.button_enter	risky	Войти	Enter		
risky.button_waiting	risky	Ожидание	Waiting		
minigame.title	minigame	Мини игра	Mini Game		
minigame.starts_in	minigame	Игра начнется через:	Game starts in:		
crash.betting_status_format	crash	Прием ставок: {0}	Bets close in: {0}		
crash.playing_status	crash	Ожидание результата	Waiting for result		
crash.win_status_format	crash	Выигрыш: {0} руб	Win: {0} rub		
crash.lose_status	crash	Ставка не сыграла	Bet lost		
crash.round_finished	crash	Раунд завершен	Round finished		
crash.potential_win_format	crash	{0} руб	{0} rub		
crash.place_bet	crash	Сделать ставку	Place bet		
crash.bet_accepted	crash	Ставка принята	Bet accepted		
crash.wait_next_round	crash	Жди следующий раунд	Wait for next round		
business.income_per_hour	business	Доход в час	Income per hour		
business.total_income_per_hour	business	Общий доход в час	Total income per hour		
business.income_per_hour_format	business	{0} в час	{0} per hour		
business.locked_skill_format	business	Улучши до {0} уровня чтобы открыть	Upgrade to level {0} to unlock		
business.skill_instant_rubles_format	business	Мгновенно приносит {0}.	Instantly gives {0}.		
business.skill_category_income_format	business	Доход бизнесов этого типа +{0}	Income of this business type +{0}		
mining.rigs_bought	mining	Куплено ригов	Rigs bought		
mining.rig_name_format	mining	Риг #{0}	Rig #{0}		
mining.income_per_hour_format	mining	{0} {1} в час	{0} {1} per hour		
mining.total_income_format	mining	{0} {1}	{0} {1}		
mining.accumulated_format	mining	{0} {1}	{0} {1}		
mining.buy_new_rig	mining	Купить\nновый риг	Buy\nnew rig		
mining.locked_rig_message	mining	Купи предыдущий\nриг что бы\nразблокировать\nэтой слот	Buy the previous\nrig to unlock\nthis slot		
mining.activate	mining	Активировать	Activate		
mining.boost_active_format	mining	Активно {0}	Active {0}		
mining.speed_level_format	mining	x{0} скорости	x{0} speed		
mining.income_level_format	mining	x{0} дохода	x{0} income		
mining.duration_format	mining	На {0}	For {0}		
mining.gem_cost_format	mining	За {0} гемов	For {0} gems		
mining.coin_cost_format	mining	За {0} {1}	For {0} {1}		
mining.new_currency	mining	Новая валюта	New currency		
mining.all_currencies_open	mining	Все валюты открыты	All currencies unlocked		
mining.currency_unlock_description_format	mining	Все риги начнут добывать {0}	All rigs will start mining {0}		
mining.currency_unlock_button_format	mining	Открыть {0}	Unlock {0}		
time.hours_short_format	time	{0}ч	{0}h		
time.minutes_short_format	time	{0}м	{0}m		
time.seconds_short_format	time	{0}с	{0}s		
trading.holdings_format	trading	кол-во: {0}/{1}	owned: {0}/{1}		
trading.total_value_format	trading	Общая стоимость: {0}	Total value: {0}		
trading.buy_total_format	trading	Р {0}	R {0}		
trading.sell_total_format	trading	Р {0}	R {0}		
trading.cap_upgrade_description_format	trading	Увеличить с {0} до {1}	Increase from {0} to {1}		
trading.cap_upgrade_current_limit_format	trading	Текущий лимит {0} - {1} монет	Current {0} limit - {1} coins		
scene.game_currency	scene	Игровая валюта	Game Currency		
scene.gems	scene	Кристаллы	Gems		
scene.daily_gift	scene	Ежедневный подарок	Daily Gift		
scene.best_offer	scene	ЛУЧШЕЕ ПРЕДЛОЖЕНИЕ	BEST OFFER		
scene.no_ads	scene	ОТКЛЮЧИТЬ РЕКЛАМУ	REMOVE ADS		
scene.select_multiplier	scene	Выбери множитель	Choose multiplier		
scene.select_stake	scene	Выбери ставку	Choose stake		
scene.stake_size	scene	Размер ставки	Stake size		
scene.reward	scene	Награда	Reward		
scene.statistics	scene	Статистика	Stats		
scene.available_energy	scene	Доступно энергии	Energy available		
scene.active_skill	scene	Активное умение	Active skill		
scene.income_boost	scene	Бонус к доходу	Income bonus		
scene.farm_upgrade	scene	Улучшение фермы	Farm upgrade		
scene.final_item	scene	Финальный предмет	Final item		
scene.car_collection	scene	КОЛЛЕКЦИЯ АВТО	CAR COLLECTION		
scene.all	scene	Все	All		
scene.goods	scene	Товары	Goods		
scene.auto	scene	Авто	Cars		
scene.real_estate	scene	Хаты	Real Estate		
scene.clothes	scene	Шмот	Clothes		
scene.boats	scene	Яхты	Yachts		
scene.aviation	scene	Авиа	Aviation		
scene.hotel_chain	scene	Сеть отелей	Hotel Chain		
scene.construction	scene	Стройка	Construction		
scene.cooldown	scene	Охлаждение	Cooldown		
scene.time	scene	Время	Time		
scene.names	scene	Названия	Names		
scene.player_nickname	scene	Никнейм игрока	Player nickname		
scene.day_1	scene	День 1	Day 1		
scene.day_2	scene	День 2	Day 2		
scene.day_3	scene	День 3	Day 3		
scene.day_4	scene	День 4	Day 4		
scene.day_5	scene	День 5	Day 5		
scene.day_6	scene	День 6	Day 6		
scene.day_7	scene	День 7	Day 7		
scene.level	scene	Уровень	Level		
scene.level_1	scene	Уровень 1	Level 1		
scene.accumulated	scene	Накоплено:	Accumulated:		
scene.chance	scene	Шанс	Chance		
scene.chance_colon	scene	Шанс:	Chance:		
scene.buy_for	scene	Купить за	Buy for		
scene.buy_for_ad	scene	Купить\nза рекламу	Buy\nwith ad		
scene.income_x5	scene	Доход X5	Income X5		
scene.income_plus_5	scene	+5% к доходу	+5% income		
scene.income_plus_20	scene	+20% к доходу	+20% income		
scene.mining_speed_plus_5	scene	+5% к скорости добычи	+5% mining speed		
scene.failed_deal	scene	Сделка сорвалась	Deal failed		
scene.analysis_deal	scene	Анализ сделки...	Analyzing deal...		
scene.analysis_running	scene	Идет анализ...	Analyzing...		
scene.forecast_failed	scene	Прогноз не сбылся	Forecast failed		
scene.place_bet	scene	Сделать ставку	Place bet		
scene.total_bonus_50	scene	Общий бонус 50%	Total bonus 50%		
scene.collected_3_10	scene	Собрано 3/10	Collected 3/10		
scene.bought_3_10	scene	3/10 куплено	3/10 bought		
scene.big_starter_pack	scene	Большой стартовый\nнабор	Big starter\npack		
scene.income	scene	Доход	Income		
collections.final_locked	collections	Собери всю коллекцию чтобы разблокировать	Complete the collection to unlock		
collections.progress_format	collections	Собрано {0}/{1}	Collected {0}/{1}		
collections.total_bonus_format	collections	Общий бонус: {0}%	Total bonus: {0}%		
collections.bonus_target_title_format	collections	Бонусы к бизнесу с типом "{0}"	Bonuses for "{0}" businesses		
collections.bonus_target_description_format	collections	Сбор этой коллекции дает бонус к доходу всех ваших бизнесов с типом «{0}»	Completing this collection boosts income for all your "{0}" businesses		
collections.bonus_condition_format	collections	{0}/{1} куплено	{0}/{1} bought		
collections.bonus_value_format	collections	+ {0}% к доходу	+ {0}% income		
temki.stake_format	temki	{0}р	{0}R		
temki.risk	temki	Рискнуть	Risk it		
temki.check	temki	Проверить	Check		
temki.fail	temki	Темка не стрельнула	The deal failed		
common.increase	common	Увеличить	Increase		
shop.offer_gems_coins	shop	Кристаллы + монеты	Gems + coins		
shop.no_ads_week_description	shop	Отключает рекламу в игре на неделю	Removes ads in the game for one week		
daily.description	daily	Заходи каждый день и получай подарки	Come back every day and claim rewards		
history.buy_format	history	{0} купил	{0} bought		
history.sell_format	history	{0} продал	{0} sold		
mining.tab_description	mining	Покупай компьютеры и улучшай их и майни крипту автоматически	Buy computers, upgrade them, and mine crypto automatically		
mining.upgrades_affect_all_rigs	mining	Улучшения влияют на все риги	Upgrades affect all rigs		
mining.progress_scale	mining	Шкала добычи	Mining progress		
mining.maxed_rigs_stat	mining	Макс улучшенных ригов	Maxed rigs		
mining.speed_bonus_stat	mining	Бонус к времени добычи	Mining time bonus		
business.tab_description	business	Вкладывай деньги и получай стабильный пассивный доход\nЭто путь к успеху!	Invest money and earn steady passive income\nThis is the path to success!		
business.unlock_requirement_format	business	{0}: уровень {1}	{0}: level {1}		
business.x5_active	business	Доход увеличен	Income boosted		
business.x5_prompt	business	Увеличь доход на час!	Boost income for one hour!		
temki.tab_description	temki	Рискуй и побеждай! Темки могут помочь быстро подняться, но будь аккуратен!	Take risks and win! Deals can boost you fast, but be careful!		
category.goods_business	category	Товарный бизнес	Goods		
category.auto_business	category	Автобизнес	Cars		
category.construction	category	Строительство	Construction		
category.sea_business	category	Морской бизнес	Yachts		
category.sea_business_short	category	Море	Yachts		
category.aviation_business	category	Авиабизнес	Aviation		
category.aviation_business_short	category	Авиа	Aviation		
business.name.fashion_boutique	business	Модный бутик	Fashion Boutique		
business.name.market_stall	business	Точка в ТЦ	Mall Stand		
business.name.premium_clothing_factory	business	Фабрика премиальной одежды	Premium Clothing Factory		
business.name.private_atelier	business	Частное ателье	Private Atelier		
